booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,W6950732,7F,Damyanti Khatri,+91-8874039825
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,P4493699,23A,Dalbir Khosla,+91-9606649882
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,Y3350557,16E,Farhan Chada,+91-8629516369
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,H6801192,15D,Vedika Biswas,+91-6320073428
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,R6811872,15F,Jeremiah Dave,+91-7334580870
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,M1040961,18F,Vaishnavi Gandhi,+91-9324502708
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,C5391149,16A,Alka Wable,+91-9839804571
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,J8207365,7A,Pallavi Kakar,+91-7718126104
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,J0655782,2F,Sai Muni,+91-6773457796
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,X0432230,12B,Mohini Prakash,+91-7312219350
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,E4707392,3A,Raksha Varughese,+91-7493679292
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,Z4621276,1B,Siya Dara,+91-8137720016
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,W2611231,10D,Yug Kar,+91-6566668019
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,H2488899,22D,Devansh Nigam,+91-7989890958
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,Y8937629,29C,Ansh Karpe,+91-8379418400
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,Y3036468,30A,Thomas Amble,+91-6955344669
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,E0381876,9A,Ekavir Bhargava,+91-7678774087
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,H2308981,16E,Veer Bir,+91-6464118688
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,V8144582,12A,Azad Narayanan,+91-9626679329
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,G2318297,5D,Ekavir Varkey,+91-6892143483
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,L7245000,2F,Wazir Mallick,+91-6969298674
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,A1529113,31A,Vedika Kala,+91-9941437433
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,W5090255,25F,Kevin Solanki,+91-6953291422
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,V4442182,31C,Xavier Solanki,+91-9660731775
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,C2248905,25D,Niharika Gupta,+91-6644541387
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,P7009004,16D,Girindra Chatterjee,+91-8783616973
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,L1584826,25E,Raagini Pandya,+91-6353190231
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,P2483550,24C,Pallavi Roy,+91-7943037557
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,X6080706,14B,Unni Bhagat,+91-9746502655
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,Y8795098,12B,Guneet Bhat,+91-6165188767
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,J0164818,34F,Neha Nori,+91-6380899257
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,Z4287738,13D,Ikbal Kothari,+91-7667280675
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,Z1643212,26E,Rehaan Gupta,+91-8879525408
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,F8946420,16D,Saumya Dey,+91-7495412423
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,V6314417,3D,Pahal Goswami,+91-8778210041
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,N2554026,15F,Arya Shere,+91-8464997824
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,W2430176,20D,Zaid Borra,+91-8412030195
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,V9880315,16E,Saanvi Chaudhari,+91-7991651992
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,J5279050,19F,Chandresh Zachariah,+91-6412862865
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,H3335384,21F,Alexander Chander,+91-6523827368
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,H2111978,30F,Warjas Ganesan,+91-6684521339
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,B9339137,14B,Niharika Sunder,+91-9791520049
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,L3060119,33D,Vasana Kala,+91-8518051363
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,D7868800,12B,Nandini Bhargava,+91-6970468743
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,A9156182,34A,Nitesh Raghavan,+91-7839160327
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,N5774491,27A,Aarnav Ramakrishnan,+91-7520650611
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,M9520149,5A,Alka Sha,+91-8216883389
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,W4336875,2E,Bhavika Sampath,+91-7912308435
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,P3223998,10A,Vidhi Dubey,+91-7584571024
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,J5561140,19B,Ranveer Minhas,+91-9902241177
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,B5053766,28F,Teerth Bhardwaj,+91-6657636273
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,D1260030,34B,Darsh Murthy,+91-8519392542
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,N9106271,21F,Dakshesh Bedi,+91-7207315920
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,F3455068,12D,Vansha Thakkar,+91-6621179377
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,Z7682938,17C,Nakul Bhandari,+91-6224369980
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,H4808735,20B,Yashoda Buch,+91-9816300459
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,W8260335,8A,Quincy Biswas,+91-6816213440
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,M7090859,5C,Ekansh Keer,+91-8716421753
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,F0749269,27E,Netra Dar,+91-9938075564
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,K8997184,10E,Yatin Baral,+91-8721996718
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,N9325914,2E,Finn Saini,+91-8711476141
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,Y3231234,10D,Diya Lal,+91-9705499264
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,W0690872,26F,Samarth Murthy,+91-6590894894
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,P0723483,34E,William Lanka,+91-7449801553
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,Y5382804,1C,Meghana Deep,+91-9812516703
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,D2996508,10D,Charita Shankar,+91-8684652875
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,E6418696,23D,Diya Bora,+91-6990362496
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,G0876123,34C,Aditya Shanker,+91-8905759254
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,D4346823,20E,Harish Borah,+91-8772206706
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,B0273008,28E,Tanay Toor,+91-9517992968
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,C0168311,13E,Alka Deo,+91-8984291393
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,A0168094,6C,Ikshita Biswas,+91-6892131934
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,L0762839,29F,Yash Pingle,+91-9773212157
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,E0534407,29D,Bhavani Dugar,+91-8519551700
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,F0726629,9C,Raksha Mittal,+91-6696425455
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,C7760299,5C,Abhiram Mistry,+91-6526574971
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,V8413337,15A,Hemang Desai,+91-7437369840
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,M2356178,6D,Aishani D’Alia,+91-6320027996
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,F1192061,15D,Hredhaan Dugal,+91-7986016715
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,V5277895,25A,Anita Manda,+91-7334348150
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,R1844490,11E,Shivansh Oza,+91-8151309430
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,E6480164,19A,Samar Lalla,+91-7585050672
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,G4167812,30F,Yashasvi Suresh,+91-9816482528
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,V2210217,12A,Zayan Behl,+91-7380352234
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,V6298579,29B,George Sampath,+91-9987269085
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,H8318285,27A,Aradhana Basu,+91-8345788402
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,X7079866,8D,Aarush Nath,+91-9851739050
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,B6736820,24A,Kalpit Lala,+91-9680487005
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,E1223552,6D,Neel Sathe,+91-8115925900
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,L8714692,5E,Prisha Andra,+91-7178118235
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,X2596790,18B,Isaac Borra,+91-9769410380
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,Y8480220,22A,Manthan Banik,+91-7811153787
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,W6948424,22F,Kala Divan,+91-6795001686
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,C4578870,29A,Qushi Datta,+91-8292245204
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,H8676738,12A,Benjamin Morar,+91-9395171674
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,N1917798,32D,Janya Baral,+91-7769629690
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,X6872258,13D,Ishita Kade,+91-6948822987
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,Z8580623,24A,Zaid Chauhan,+91-8132102471
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,M6695790,2F,Irya Ray,+91-6280302367
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,J8255442,34D,Mohammed Khalsa,+91-9737367690
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,N3259423,9F,Nicholas Goel,+91-8947756854
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,N3389156,11C,Nitara Bakshi,+91-6834943269
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,L2857256,11E,Praneel Natarajan,+91-7533417397
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,X3358951,15E,Nisha Kothari,+91-6701224039
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,N5507846,21A,Amara Dutta,+91-8911735830
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,T4430349,8F,Hritik Raja,+91-6993779600
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,D7972038,22E,Balvan Singhal,+91-7388980197
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,B1536415,19D,Tristan Iyengar,+91-6450864287
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,L3132593,27D,Triveni Palla,+91-6355710363
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,P7500942,7C,Dalaja Kari,+91-6137787327
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,M2769819,34D,Udant Bajwa,+91-6749690863
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,E7045238,34E,Reyansh Rastogi,+91-8531852098
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,F2586605,33D,Falguni Mallick,+91-9678655466
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,R4422758,22F,Ekaraj Mallick,+91-8681269558
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,Z5965594,12E,Indali Upadhyay,+91-7426999169
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,Y1165020,3A,Mugdha Yadav,+91-7960734521
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,K5393132,8C,Garima Bala,+91-8174348652
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,G0557083,28E,Jack Lal,+91-7832286490
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,D4448896,25E,Pranav Lanka,+91-9254696542
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,T3677462,1B,Balvan Chopra,+91-8653314213
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,F5431832,7F,Radha Pai,+91-7304465908
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,C2392049,6A,Dipta Sarin,+91-9892739782
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,A1836472,14F,Yasti D’Alia,+91-9470448556
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,A8276817,12B,Lekha Gupta,+91-8615481523
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,R5458472,25B,Aachal Basu,+91-6449432358
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,E9187683,7D,Rajata Agarwal,+91-6689885924
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,F7172173,13D,Zinal Yohannan,+91-7706110978
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,Z9205222,14F,Ronith Patla,+91-9283816626
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,D6591438,10B,Raagini Boase,+91-7449076166
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,Z5398358,20C,Ganga Murthy,+91-9231164596
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,T7732643,2E,Jeet Mital,+91-8380287338
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,J9791279,29A,Yashica More,+91-7713152983
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,F7120539,30E,Nilima Narain,+91-9871767632
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,D3752988,16B,Neha Merchant,+91-7130148921
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,D2560832,3A,Joshua Handa,+91-8917114055
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,W7978889,29C,Osha Raghavan,+91-7844446263
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,M8523860,3B,Owen Mitra,+91-6398640009
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,K3619951,30A,Nidra Acharya,+91-8996772075
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,F3910292,23F,Daksha Mangat,+91-6199294339
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,K3748309,13A,Shivansh Sani,+91-9604762395
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,C3971912,26A,Ekanta Shroff,+91-7885716415
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,E1321767,9A,Riya Sathe,+91-6750512858
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,C1166122,3A,Tanay Vaidya,+91-6579416064
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,E5873393,3C,Urvashi Gara,+91-7563264358
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,N5380274,34A,Frado Mander,+91-7920725378
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,K2114086,34B,Yutika Nayak,+91-8109386819
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,X5229462,2E,Girik Keer,+91-7852291107
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,M5610399,23B,Dayita Kar,+91-9984219571
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,A1371243,28C,Rushil Din,+91-8679433317
B1216,P1242,6F238,2025-12-09 11:37:36.951,CONFIRMED,M6423041,10A,Aryan Batra,+91-7617385129
B1217,P1072,6F092,2026-03-19 11:37:36.951,CANCELLED,B6159273,32C,Yash Soman,+91-6278618927
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,Y9071669,2D,Elijah Shah,+91-7239573132
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,E4815542,1B,Oeshi Hayer,+91-8134770964
B1220,P1560,6F178,2026-04-04 11:37:36.951,PENDING,H0109567,29C,Leena Talwar,+91-9944862559
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,K9157955,19D,Mugdha Kohli,+91-7364245218
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,J7124760,8A,Manbir Ahluwalia,+91-6925875907
B1223,P1755,6F056,2026-04-09 11:37:36.951,UNKNOWN,D8103068,15A,Hredhaan Sandal,+91-9528034660
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,J1726808,1E,Theodore Goda,+91-6972239317
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,M7129015,4D,Zarna Shetty,+91-6309901229
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,V0671307,15C,Chandresh Krish,+91-6151323124
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,K5847436,12A,Jairaj Shan,+91-7126618218
B1228,P1864,SJ083,2026-04-17 11:37:36.951,CONFIRMED,A9625885,29D,Kiaan Shetty,+91-9740122235
B1229,P1098,UK073,2026-02-07 11:37:36.951,CONFIRMED,J7031805,13F,Edhitha Savant,+91-7751721227
B1230,P1953,6F169,2025-04-29 11:37:36.951,PENDING,N2746662,6C,Yamini Sandhu,+91-6663302051
B1231,P1870,UK154,2026-04-06 11:37:36.951,CANCELLED,H2700046,27D,Sanaya Dutt,+91-6433505590
B1232,P1953,SJ169,2025-10-06 11:37:36.951,CONFIRMED,L9011079,32F,Vaishnavi Sengupta,+91-9233491252
B1233,P1494,6F187,2025-05-13 11:37:36.951,CANCELLED,J0049388,5F,Aashi Kota,+91-8716509119
B1234,P1946,UK210,2025-11-21 11:37:36.951,CANCELLED,A5315204,33A,Aradhana Verma,+91-8794264349
